ID       faithfulness    informativeness_step informativeness_chain faithfulness_ww repetition_word repetition_step discourse_representation coherence_step_vs_step perplexity_step perplexity_chain perplexity_step_max grammar_step    grammar_step_max
15       0.8741644620895386 0.8621450066566467 0.9673348665237427 0.9584241509437561 0.06028658151626587 0.051518380641937256 0.001953125     0.0029296875    0.031382805741287816 0.11165685819025503 0.009094016866667849 0.951884286744254 0.782364010810852
16       0.8648959398269653 0.8336787223815918 0.9411396980285645 0.9562146067619324 0.06035715341567993 0.031268298625946045 0.0009765625    0.9859848022460938 0.030086379177218518 0.0886888580224749 0.023300611483683214 0.9881198704242706 0.9843383431434631
17       0.8132407069206238 0.7752478718757629 0.9168026447296143 0.9453499913215637 0.02333766222000122 0.02213883399963379 0.0380859375    0.1728515625    0.013855161669649228 0.14063690677783613 0.00948694324096922 0.9526455760002136 0.8643708825111389
18       0.8108831644058228 0.7939227819442749 0.8766373991966248 0.9447854161262512 0.043948590755462646 0.05539584159851074 0.00048828125   0.00439453125   0.002201180365055739 0.052953106943608864 0.0014178626501221041 0.9737874746322632 0.9408222436904907
19       0.7919828295707703 0.7572680711746216 0.8876185417175293 0.9190199375152588 0.010603666305541992 0.07220828533172607 0.03564453125   0.0888671875    0.0028722337629248583 0.08052581708618789 0.00040184669893839634 0.8317172050476074 0.606076180934906
20       0.8308084011077881 0.795189619064331 0.920705258846283 0.9426471590995789 0.06611275672912598 0.08202147483825684 0.0009765625    0.0380859375    0.010891411572397633 0.07224389300934798 0.004500375263175602 0.9808400770028433 0.957240879535675
21       0.8290032148361206 0.7769297361373901 0.945999026298523 0.9310033321380615 0.021264374256134033 0.05616945028305054 0.01708984375   0.93597412109375 0.01179502881399863 0.1070122184761081 0.004108820110167538 0.9831568837165833 0.9606442451477051
22       0.8344963192939758 0.8090404272079468 0.9231418371200562 0.9454277753829956 0.06135672330856323 0.050385236740112305 0.00048828125   0.9980430603027344 0.014728266594432729 0.06049666981971455 0.007683929489773859 0.9860720753669738 0.9754776954650879
23       0.8322815895080566 0.7653185129165649 0.9079011678695679 0.9175743460655212 0.056198298931121826 0.06874009966850281 0.00439453125   0.01611328125   0.002130930902787374 0.028504998005452 0.0004029553795366198 0.9843458414077759 0.9525886178016663
24       0.8472694754600525 0.8177767992019653 0.9388805627822876 0.9486055970191956 0.06279414892196655 0.06760147213935852 0.00146484375   0.740234375     0.02293323491026879 0.06523493308728898 0.009942700505956185 0.9856177270412445 0.9541400074958801
25       0.8444002270698547 0.8266364336013794 0.9363366365432739 0.9351577758789062 0.007101714611053467 0.03438025712966919 0.00439453125   0.080078125     0.011172630869147045 0.14161407728444375 0.0028736483581922245 0.9812648475170136 0.9179854393005371
26       0.8451461791992188 0.7930565476417542 0.8960673809051514 0.927760124206543 0.009464383125305176 0.018429815769195557 0.078125        0.610595703125  0.013167119523127036 0.09999222465907291 0.009900306603138847 0.9867437839508056 0.9736416339874268
